Time, Latitude, Longitude, Acc X, Acc Y, Acc Z,Bearing
0, 0.000000, 0.666800, 0.09, -0.09, 0.98, 337.500000
1, 52.764877, -1.237760, 0.09, -0.09, 0.94, 337.500000
2, 52.764973, -1.237752, 0.05, -0.05, 0.98, 337.500000
3, 52.764999, -1.237833, 0.09, -0.09, 1.03, 337.500000
4, 52.764427, -1.238708, 0.09, -0.09, 0.98, 0.000000
5, 52.764477, -1.238588, 0.05, -0.09, 0.98, 71.900000
6, 52.764519, -1.238503, 0.09, -0.14, 0.98, 72.000000
7, 0.879409, 0.635045, 0.05, -0.09, 0.94, 270.000000
8, 52.764633, -1.238313, 0.05, -0.09, 0.98, 270.000000
9, 0.879411, 0.635048, 0.00, -0.09, 1.03, 270.000000
10, 0.014657, 0.666271, 0.05, -0.05, 0.98, 180.000000
11, 0.000244, 0.666791, 0.09, -0.09, 0.98, 180.000000
12, 0.000004, 0.666800, 0.23, -0.23, 1.03, 180.000000
13, 0.000000, 0.666800, 0.05, -0.05, 0.98, 61.900000
14, 52.764835, -1.237530, 0.14, -0.19, 0.94, 238.900000
15, 52.764870, -1.237465, 0.09, -0.05, 0.94, 238.900000
16, 52.764885, -1.237507, 0.05, -0.09, 0.94, 238.900000
17, 52.764908, -1.237495, 0.09, -0.05, 1.03, 180.000000
18, 52.764935, -1.237417, 0.09, -0.09, 1.03, 180.000000
19, 52.764942, -1.237382, 0.05, -0.09, 1.03, 238.800000
20, 52.764957, -1.237357, 0.05, -0.09, 1.03, 238.800000
21, 52.764950, -1.237368, 0.05, -0.14, 0.98, 238.800000
22, 52.764942, -1.237378, 0.09, -0.14, 0.98, 180.000000
23, 52.764935, -1.237380, 0.05, -0.09, 0.98, 180.000000
24, 52.764935, -1.237373, 0.05, -0.09, 0.98, 238.600000
25, 52.764935, -1.237358, 0.09, -0.09, 0.94, 238.600000
26, 52.764927, -1.237338, 0.09, -0.09, 0.94, 238.600000
27, 52.764927, -1.237330, 0.05, -0.14, 0.94, 239.000000
28, 52.764927, -1.237310, 0.00, -0.09, 0.94, 239.000000
29, 52.764935, -1.237273, 0.00, -0.05, 0.98, 239.000000
